dir,ts,chain,block,addr,devbat,msgid,brake,disc_bits,valve,confirm,db_1,motion,l_batt,light,hex
"r2f","2022-04-10T10:08:39.886","ONLY","BASIC","5048","OK","ONEWAY","GO","00","OPERATIONAL","RESPONSE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","bc 60 e3 80 3c 09 dc 0f"
"r2f","2022-04-10T10:08:39.887","ONLY","BASIC","5048","OK","ONEWAY","GO","00","OPERATIONAL","RESPONSE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","bc 60 e3 80 3c 09 dc 0f"
"r2f","2022-04-10T10:08:39.914","ONLY","BASIC","18151","OK","TEST/ARM_REQ","GO","40","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","b0 a1 32 a0 30 23 73 ff"
"r2f","2022-04-10T10:08:39.915","ONLY","BASIC","18151","OK","TEST/ARM_REQ","GO","40","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","b0 a1 32 a0 30 23 73 ff"
"r2f","2022-04-10T10:08:39.927","ONLY","BASIC","18151","OK","TEST/ARM_REQ","GO","40","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","b0 a1 32 a0 30 23 73 ff"
"r2f","2022-04-10T10:08:39.991","ONLY","BASIC","18151","OK","ONEWAY","GO","42","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","f9 ed d2 a1 30 23 73 8f"
"r2f","2022-04-10T10:08:39.992","ONLY","BASIC","18151","OK","ONEWAY","GO","42","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","f9 ed d2 a1 30 23 73 8f"
"r2f","2022-04-10T10:08:40.004","ONLY","BASIC","18151","OK","ONEWAY","GO","42","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","f9 ed d2 a1 30 23 73 8f"
"r2f","2022-04-10T10:08:40.069","ONLY","BASIC","18151","OK","ONEWAY","GO","44","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","c8 a4 d2 a2 30 23 73 8f"
"r2f","2022-04-10T10:08:40.069","ONLY","BASIC","18151","OK","ONEWAY","GO","44","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","c8 a4 d2 a2 30 23 73 8f"
"r2f","2022-04-10T10:08:40.081","ONLY","BASIC","18151","OK","ONEWAY","GO","44","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","c8 a4 d2 a2 30 23 73 8f"
"r2f","2022-04-10T10:08:40.105","ONLY","BASIC","18151","OK","ONEWAY","GO","46","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","e9 2a d2 a3 30 23 73 8f"
"r2f","2022-04-10T10:08:40.106","ONLY","BASIC","18151","OK","ONEWAY","GO","46","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","e9 2a d2 a3 30 23 73 8f"
"r2f","2022-04-10T10:08:40.118","ONLY","BASIC","18151","OK","ONEWAY","GO","46","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","e9 2a d2 a3 30 23 73 8f"
"r2f","2022-04-10T10:08:40.126","ONLY","BASIC","5048","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","fe 47 e2 80 40 09 dc 0f"
"r2f","2022-04-10T10:08:40.126","ONLY","BASIC","5048","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","fe 47 e2 80 40 09 dc 0f"
